,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,word,frequency,country,theme,perc_freq,cluster
2,2,2,2,2,man,320,South Africa,male,0.012112953289423878,"South Africa, male"
4,4,4,4,4,murder,251,South Africa,violence,0.009501097736391854,"South Africa, violence"
5,5,5,5,5,rape,250,South Africa,violence,0.009463244757362405,"South Africa, violence"
6,6,6,6,6,find,248,South Africa,violence,0.009387538799303504,"South Africa, violence"
10,10,10,10,10,court,184,South Africa,violence,0.0069649481414187295,"South Africa, violence"
11,11,11,11,11,arrest,184,South Africa,violence,0.0069649481414187295,"South Africa, violence"
12,12,12,12,12,police,162,South Africa,violence,0.006132182602770838,"South Africa, violence"
13,13,13,13,13,miss,156,South Africa,female,0.0059050647285941405,"South Africa, female"
14,14,14,14,14,kill,154,South Africa,violence,0.005829358770535241,"South Africa, violence"
16,16,16,16,16,body,145,South Africa,female,0.005488681959270195,"South Africa, female"
17,17,17,17,17,child,144,South Africa,female,0.005450828980240745,"South Africa, female"
18,18,18,18,18,die,143,South Africa,violence,0.005412976001211296,"South Africa, violence"
21,21,21,21,21,accuse,134,South Africa,female,0.0050722991899462486,"South Africa, female"
22,22,22,22,22,life,133,South Africa,violence,0.005034446210916799,"South Africa, violence"
24,24,24,24,24,death,123,South Africa,violence,0.004655916420622303,"South Africa, violence"
25,25,25,25,25,baby,118,South Africa,female,0.004466651525475055,"South Africa, female"
28,28,28,28,28,allegedly,110,South Africa,violence,0.004163827693239458,"South Africa, violence"
33,33,33,33,33,family,102,South Africa,female,0.003861003861003861,"South Africa, female"
37,37,37,37,37,young,95,South Africa,female,0.0035960330077977136,"South Africa, female"
39,39,39,39,39,mother,88,South Africa,female,0.003331062154591566,"South Africa, female"
40,40,40,40,40,charge,88,South Africa,violence,0.003331062154591566,"South Africa, violence"
42,42,42,42,42,job,86,South Africa,empowerment,0.003255356196532667,"South Africa, empowerment"
43,43,43,43,43,pay,86,South Africa,empowerment,0.003255356196532667,"South Africa, empowerment"
45,45,45,45,45,fight,84,South Africa,violence,0.003179650238473768,"South Africa, violence"
47,47,47,47,47,work,80,South Africa,empowerment,0.0030282383223559695,"South Africa, empowerment"
49,49,49,49,49,home,79,South Africa,female,0.00299038534332652,"South Africa, female"
50,50,50,50,50,mom,77,South Africa,female,0.0029146793852676206,"South Africa, female"
53,53,53,53,53,business,75,South Africa,empowerment,0.0028389734272087214,"South Africa, empowerment"
55,55,55,55,55,teen,74,South Africa,female,0.0028011204481792717,"South Africa, female"
59,59,59,59,59,suspect,71,South Africa,violence,0.002687561511090923,"South Africa, violence"
62,62,62,62,62,violence,69,South Africa,violence,0.0026118555530320236,"South Africa, violence"
63,63,63,63,63,launch,69,South Africa,empowerment,0.0026118555530320236,"South Africa, empowerment"
65,65,65,65,65,gender,69,South Africa,female,0.0026118555530320236,"South Africa, female"
68,68,68,68,68,lose,66,South Africa,female,0.0024982966159436746,"South Africa, female"
71,71,71,71,71,boyfriend,64,South Africa,male,0.0024225906578847754,"South Africa, male"
73,73,73,73,73,shoot,63,South Africa,violence,0.0023847376788553257,"South Africa, violence"
74,74,74,74,74,sale,63,South Africa,female,0.0023847376788553257,"South Africa, female"
78,78,78,78,78,win,60,South Africa,empowerment,0.0022711787417669773,"South Africa, empowerment"
81,81,81,81,81,sentence,58,South Africa,violence,0.002195472783708078,"South Africa, violence"
83,83,83,83,83,cop,57,South Africa,violence,0.0021576198046786284,"South Africa, violence"
85,85,85,85,85,worker,56,South Africa,empowerment,0.0021197668256491787,"South Africa, empowerment"
88,88,88,88,88,love,55,South Africa,female,0.002081913846619729,"South Africa, female"
96,96,96,96,96,husband,53,South Africa,male,0.00200620788856083,"South Africa, male"
99,99,99,99,99,lead,53,South Africa,empowerment,0.00200620788856083,"South Africa, empowerment"
