,year,country,word,frequency,count,freq_prop_headlines,word_len
17306,2005,India,abuse,0.0,258,0.0,5
17307,2006,India,abuse,0.0,306,0.0,5
17308,2007,India,abuse,4.0,744,0.005376344086021506,5
17309,2008,India,abuse,1.0,2052,0.0004873294346978557,5
17310,2009,India,abuse,8.0,3534,0.0022637238256932655,5
17311,2010,India,abuse,6.0,4752,0.0012626262626262627,5
17312,2011,India,abuse,7.0,7314,0.0009570686354935739,5
17313,2012,India,abuse,14.0,10902,0.001284168042560998,5
17314,2013,India,abuse,23.0,14730,0.0015614392396469789,5
17315,2014,India,abuse,37.0,22506,0.0016440060428330222,5
17316,2015,India,abuse,47.0,31596,0.0014875300670971008,5
17317,2016,India,abuse,81.0,42036,0.0019269197830431059,5
17318,2017,India,abuse,130.0,51291,0.002534557719677916,5
17319,2018,India,abuse,129.0,57510,0.0022430881585811164,5
17320,2019,India,abuse,126.0,62547,0.002014485107199386,5
17321,2020,India,abuse,0.0,1011,0.0,5
17322,2021,India,abuse,1.0,4782,0.00020911752404851526,5
18802,2005,India,accuse,2.0,172,0.011627906976744186,6
18803,2006,India,accuse,0.0,204,0.0,6
18804,2007,India,accuse,3.0,496,0.006048387096774193,6
18805,2008,India,accuse,2.0,1368,0.0014619883040935672,6
18806,2009,India,accuse,8.0,2356,0.003395585738539898,6
18807,2010,India,accuse,14.0,3168,0.004419191919191919,6
18808,2011,India,accuse,16.0,4876,0.003281378178835111,6
18809,2012,India,accuse,26.0,7268,0.003577325261419923,6
18810,2013,India,accuse,48.0,9820,0.004887983706720978,6
18811,2014,India,accuse,56.0,15004,0.003732338043188483,6
18812,2015,India,accuse,76.0,21064,0.0036080516521078618,6
18813,2016,India,accuse,110.0,28024,0.003925206965458178,6
18814,2017,India,accuse,173.0,34194,0.005059367140433995,6
18815,2018,India,accuse,329.0,38340,0.0085811163275952,6
18816,2019,India,accuse,321.0,41698,0.007698210945369082,6
18817,2020,India,accuse,0.0,674,0.0,6
18818,2021,India,accuse,1.0,3188,0.0003136762860727729,6
38131,2005,India,allegedly,0.0,172,0.0,9
38132,2006,India,allegedly,0.0,204,0.0,9
38133,2007,India,allegedly,0.0,496,0.0,9
38134,2008,India,allegedly,1.0,1368,0.0007309941520467836,9
