,site,bias,male_bias,empowerement,polarity,violence,country_of_pub,monthly_visits
0,dailymail.co.uk,1.0,58,7,0.7670018480525758,45,UK,603727000
1,thesun.co.uk,0.9382978723404255,59,11,0.7813033440738807,45,UK,46200000
2,cnn.com,0.8148936170212766,38,18,0.623997273797334,52,UK,932248000
3,mirror.co.uk,0.8106382978723404,58,10,0.9402689542506729,61,UK,55700000
4,timesnownews.com,0.8085106382978724,91,16,0.8505800007873777,95,India,19320000
5,walesonline.co.uk,0.8063829787234043,58,9,0.7636109059216042,54,UK,7500000
6,dailystar.co.uk,0.8063829787234043,54,9,0.8567786540283792,62,UK,17200000
7,people.com,0.7787234042553192,57,12,0.7254470508270799,42,USA,138510000
8,metro.co.uk,0.7638297872340426,47,6,0.7363042559002891,70,UK,30300000
9,news18.com,0.7446808510638298,50,14,0.7739717122396805,48,India,57220000
10,indiatimes.com,0.7382978723404255,41,8,0.6258193238577299,31,India,81500000
11,birminghammail.co.uk,0.7191489361702128,42,10,0.9537224047271621,74,UK,8100000
12,dailyrecord.co.uk,0.7170212765957447,31,17,0.9999999999999999,104,UK,10200000
13,telegraph.co.uk,0.7170212765957447,34,19,0.7156040503203854,37,UK,241169000
14,theblaze.com,0.7106382978723405,61,27,0.8252949893406484,83,USA,73159000
15,eonline.com,0.7106382978723405,23,5,0.5795610339086392,12,USA,69221000
16,hindustantimes.com,0.7042553191489361,65,8,0.7890932193784223,60,India,38590000
17,express.co.uk,0.7021276595744681,40,35,0.6767411774660927,16,UK,61300000
18,indiatoday.in,0.6978723404255319,38,18,0.7832299880270037,39,India,27860000
19,unilad.co.uk,0.6808510638297872,33,16,0.5121382460052603,24,UK,6800000
20,chroniclelive.co.uk,0.6808510638297872,45,17,0.8615134399041595,76,UK,8600000
21,scoopwhoop.com,0.6617021276595745,50,22,0.7228579625771413,33,India,2987000
22,ndtv.com,0.6553191489361703,49,13,0.8060122142560399,62,India,87830000
23,india.com,0.6510638297872341,46,13,0.7936831308096033,68,India,38690000
24,outlookindia.com,0.6446808510638298,48,11,0.8409643291720531,80,India,2385000
25,washingtonpost.com,0.6382978723404256,31,13,0.6619634067405146,33,USA,384776000
26,gawker.com,0.6382978723404256,36,6,0.6857403064911324,34,USA,60686000
27,ibtimes.co.uk,0.6319148936170212,35,9,0.773950708537578,54,UK,104792000
28,givemesport.com,0.6276595744680851,23,19,0.47344292734249893,11,UK,10400000
29,mensxp.com,0.625531914893617,66,21,0.6815325321471697,16,India,2353000
30,thehindu.com,0.625531914893617,30,7,0.6500388618974271,72,India,16650000
31,cbsnews.com,0.6234042553191489,39,19,0.7542321527444182,72,USA,142237000
32,thebetterindia.com,0.6234042553191489,20,40,0.6869155011866123,17,India,1942000
33,indianexpress.com,0.6170212765957447,44,18,0.709609108347418,64,India,28160000
34,standard.co.uk,0.6106382978723405,45,16,0.8268221511142623,78,UK,25200000
35,complex.com,0.6106382978723405,37,8,0.6520294136506823,42,USA,109824000
36,news.sky.com,0.6,59,15,0.902446940430688,110,UK,32400000
37,iol.co.za,0.6,30,11,0.801595330040978,98,South Africa,0
38,forbes.com,0.597872340425532,17,37,0.48729179536729594,8,USA,338896000
39,abcnews.go.com,0.5957446808510638,34,14,0.7131346263052606,69,USA,159709000
40,independent.co.uk,0.5936170212765958,26,9,0.6647682031732488,34,UK,93900000
41,theladbible.com,0.5872340425531914,42,16,0.5172989650934778,26,UK,10200000
42,theguardian.com,0.5872340425531914,20,13,0.6846809956395744,62,UK,145814000
43,rawstory.com,0.5787234042553192,56,11,0.7871353338026816,36,USA,141185000
44,Timeslive.co.za,0.5723404255319149,32,14,0.6912726132470726,61,South Africa,19000000
