,site,bias,polarity,country_of_pub,monthly_visits
0,dailymail.co.uk,1.0,0.5879564715096033,UK,603727000
1,mirror.co.uk,0.7621007038440715,0.6602420163168443,UK,55700000
2,telegraph.co.uk,0.6872766648619383,0.5012160342819414,UK,241169000
3,abcnews.go.com,0.6498105035192203,0.5309268432880557,USA,159709000
4,nydailynews.com,0.6442880346507851,0.7252950628543161,USA,150664000
5,indiatimes.com,0.6027070925825664,0.4592903364309333,India,81500000
6,express.co.uk,0.5956686518678939,0.5903512953180144,UK,61300000
7,eonline.com,0.5915538711423931,0.516147859413685,USA,69221000
8,washingtonpost.com,0.549431510557661,0.4662537436737226,USA,384776000
9,people.com,0.5491066594477532,0.5435329225046225,USA,138510000
10,usmagazine.com,0.5396859772604223,0.42938530683349985,USA,55327000
11,independent.co.uk,0.536654033567948,0.5476331706669708,UK,93900000
12,metro.co.uk,0.5342717920952896,0.5121144889023225,UK,30300000
13,dnaindia.com,0.503302652950731,0.4951215792280957,India,7181000
14,standard.co.uk,0.4989713048186248,0.5880416446103409,UK,25200000
15,nypost.com,0.49886302111532216,0.5788275406151021,USA,102795000
16,dailyrecord.co.uk,0.4846778559826746,0.7268962347139959,UK,10200000
17,manchestereveningnews.co.uk,0.4659447753113157,0.745153021956361,UK,16100000
18,businessinsider.com,0.46410395235517055,0.46579050529281374,USA,170101000
19,nytimes.com,0.4617217108825122,0.33846417862435957,USA,598855000
20,forbes.com,0.44970221981591774,0.4040703754215454,USA,338896000
21,economictimes.indiatimes.com,0.4488359501894965,0.44259398013350143,India,0
22,ndtv.com,0.4473199783432594,0.51897773135256,India,87830000
23,foxnews.com,0.44147265836491606,0.5841652207301227,USA,844128000
24,cbsnews.com,0.436491608012994,0.6088466150866156,USA,142237000
25,yahoo.com,0.43053600433134814,0.5142997085073354,USA,85920000
26,usatoday.com,0.42772062804547917,0.4889450155962952,USA,492425000
27,india.com,0.42263129399025445,0.5757386825613066,India,38690000
28,nbcnews.com,0.40822956145100164,0.5187925266833856,USA,264083000
29,npr.org,0.39350297780184085,0.4135020244074056,USA,146079000
30,indianexpress.com,0.3827828911748782,0.46928153688812535,India,28160000
31,deccanchronicle.com,0.37509474824038985,0.43623713209205556,India,2287000
32,chicagotribune.com,0.36632376827287494,0.5583066078628582,USA,57529000
33,theguardian.com,0.36231727125067675,0.46332742341392547,UK,145814000
34,cnn.com,0.35896047644829454,0.44309313495333463,UK,932248000
35,chron.com,0.3556036816459123,0.5920904490535212,USA,76238000
36,firstpost.com,0.34412560909583106,0.5279401347688508,India,5144000
37,latimes.com,0.3240931239848403,0.5035185424182813,USA,128166000
38,hollywoodreporter.com,0.3203031943692474,0.3573030279234742,USA,64324000
39,walesonline.co.uk,0.3121819166215485,0.6333348336230687,UK,7500000
40,popsugar.com,0.30969139144558744,0.502639733308772,USA,210727000
41,thesun.co.uk,0.30947482403898213,0.6300457851178944,UK,46200000
42,thetimes.co.uk,0.3043854899837575,0.4687225741271705,UK,19200000
43,hindustantimes.com,0.2925825663237683,0.5000279653929962,India,38590000
44,thehindu.com,0.29139144558743907,0.36718533584267854,India,16650000
45,scroll.in,0.28619382782891173,0.5036107129839615,India,3549000
46,iol.co.za,0.2820790471034109,0.5342150166708215,South Africa,0
47,time.com,0.2819707634001083,0.4300903041884122,USA,63184000
48,timesofindia.com,0.28023822414726585,0.5000648020578875,India,52180000
49,thenewsminute.com,0.27265836491608014,0.6071158334993325,India,3448000
50,huffingtonpost.co.uk,0.26507850568489444,0.557781877232464,UK,23500000
51,news18.com,0.26388738494856523,0.4955944097283203,India,57220000
52,newindianexpress.com,0.2557661072008663,0.45802963833420046,India,3489000
53,news.yahoo.com,0.2533838657282079,0.6461776809102707,USA,158166000
54,Timeslive.co.za,0.25046020573903627,0.5662747457091679,South Africa,19000000
55,rediff.com,0.2478613968597726,0.5214841783939652,India,25630000
56,cosmopolitan.com,0.2462371413102328,0.4867560927332263,USA,2062000
57,refinery29.com,0.23768272874932322,0.3913711762399738,USA,100701000
58,thedailybeast.com,0.2347590687601516,0.531158781008494,USA,87993000
59,News24.com,0.2335679480238224,0.5925471234828147,South Africa,102000000
60,buzzfeed.com,0.23021115322144017,0.5100686858484373,USA,640121000
61,liverpoolecho.co.uk,0.22988630211153221,0.6820916911393675,UK,11300000
62,ibtimes.co.uk,0.22934488359501895,0.6524001121161273,UK,104792000
63,freepressjournal.in,0.2161342717920953,0.5250868161696586,India,1872000
64,digitalspy.com,0.2161342717920953,0.4341958164953336,UK,18300000
65,vice.com,0.19891716296697348,0.48708812465504436,USA,58977000
66,sfgate.com,0.1801840822956145,0.5432797192575971,USA,147920000
67,slate.com,0.17531131564699512,0.3999144267824179,USA,98795000
68,Sowetanlive.co.za,0.17498646453708716,0.5436465785945676,South Africa,10000000
69,news.sky.com,0.1687060097455333,0.6722394734686357,UK,32400000
70,ew.com,0.16491608012994044,0.379785536073807,USA,52263000
71,wsj.com,0.16145100162425555,0.34963766727564743,USA,112374000
72,outlookindia.com,0.15592853275582025,0.5496929380144974,India,2385000
