,word,theme
21,abandon,No theme
29,abduct,No theme
54,abortion,empowerement
70,abuse,violence
86,accident,No theme
96,account,No theme
102,accuse,No theme
111,acid,No theme
120,act,No theme
122,action,No theme
126,activist,empowerement
128,actor,empowerement
129,actress,female stereotypes
131,actually,No theme
138,add,No theme
171,admit,No theme
176,adopt,No theme
179,adorable,female stereotypes
197,advice,No theme
208,affair,female stereotypes
209,affect,No theme
218,afghan,No theme
224,africa,No theme
225,african,No theme
237,age,No theme
253,ago,No theme
266,ahead,No theme
270,ahmedabad,No theme
285,aim,No theme
297,airport,No theme
353,alia,No theme
366,alive,No theme
368,allegation,violence
369,allege,violence
371,allegedly,violence
382,allow,No theme
414,amazing,No theme
415,amazon,No theme
435,america,No theme
436,american,No theme
489,andhra,No theme
510,angry,No theme
538,anniversary,No theme
555,answer,No theme
565,anti,No theme
578,anushka,No theme
595,apologise,No theme
600,app,No theme
617,appoint,empowerement
633,arabia,No theme
674,army,No theme
683,arrest,violence
690,art,No theme
699,artist,empowerement
734,asia,No theme
736,asian,No theme
751,assam,No theme
757,assault,violence
758,assembly,No theme
790,athlete,No theme
802,attack,violence
805,attempt,No theme
806,attend,No theme
844,australia,No theme
845,australian,No theme
848,author,empowerement
853,auto,No theme
881,avoid,No theme
887,award,empowerement
932,baby,female stereotypes
939,bachchan,No theme
960,bad,No theme
976,bag,No theme
987,bail,violence
1032,ban,No theme
1049,banerjee,No theme
1052,bangalore,No theme
1102,barrier,No theme
1142,battle,violence
1158,beach,No theme
1163,bear,No theme
1168,beat,violence
1173,beautiful,female stereotypes
1175,beauty,female stereotypes
1183,bed,No theme
1196,begin,No theme
1222,believe,No theme
1243,benefit,No theme
1244,bengal,No theme
1285,beyonce,No theme
1325,bhatt,No theme
1353,bias,No theme
1360,bid,No theme
1370,bigg,No theme
1374,bihar,No theme
1377,bike,No theme
1378,biker,No theme
1385,bill,No theme
1422,birth,female stereotypes
1439,bjp,No theme
1442,black,No theme
1452,blame,No theme
1490,blood,violence
1498,blue,No theme
1507,board,No theme
1520,body,female stereotypes
1538,bollywood,No theme
1543,bomb,No theme
1573,border,No theme
1588,boss,empowerement
1618,box,No theme
1621,boy,No theme
1624,boyfriend,No theme
1638,brain,No theme
1650,brave,No theme
1669,breast,female stereotypes
1671,breastfeed,No theme
1693,bride,female stereotypes
1708,britain,No theme
1731,brother,No theme
1733,brown,No theme
1764,build,No theme
1779,bully,No theme
1810,burn,violence
1817,business,empowerement
1843,cab,No theme
1868,california,No theme
1883,camera,No theme
1890,campaign,No theme
1900,cancer,No theme
1904,candidate,No theme
1933,captain,No theme
1951,care,female stereotypes
1952,career,empowerement
2003,caste,No theme
2048,ceiling,No theme
2050,celebrate,No theme
2054,celebrity,No theme
2069,cent,No theme
2075,century,No theme
2076,ceo,No theme
2107,challenge,No theme
2113,champion,No theme
2114,championship,No theme
2121,chandigarh,No theme
2132,change,No theme
2142,character,No theme
2161,chase,No theme
2181,cheat,female stereotypes
2205,chennai,No theme
2235,chief,empowerement
2237,child,female stereotypes
2254,china,No theme
2256,chinese,No theme
